nextBestPosition_X,nextBestPosition_Y,nextBestPosition_Z,Orientation_X,Orientation_Y,Orientation_Z
1.99985,0.849934,3.15006,0.000115438,-3.14139,0.000311587
2.31053,1.30263,3.13947,0,3.14159,5.236
2.31053,1.30263,3.13947,0.5236,3.14159,5.236
2.31053,1.30263,3.13947,-0.5236,3.14159,5.236
2.31053,1.30263,3.13947,-1.0472,3.14159,5.236
2.31053,1.30263,3.13947,-0.5236,3.14159,4.1888
2.31053,1.30263,3.13947,0,3.14159,4.1888
2.31053,1.30263,3.13947,0.5236,3.14159,4.1888
3.27411,1.47857,3.97768,-1.0472,3.14159,5.236
3.27411,1.47857,3.97768,-1.0472,3.14159,4.1888
